Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
ZAUSKIHAUS,2023-07-25 22:49:30,00:27:21,,Suits: Season 1: Errors and Omissions (Episode 2),,Microsoft Xbox Series X,00:29:50,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-25 21:43:18,00:01:38,,Suits: Season 1: Errors and Omissions (Episode 2),,iPhone 12 Pro,00:01:39,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-25 21:36:29,00:06:25,,Suits: Season 1: Pilot Part 1 & 2 (Episode 1),,iPhone 12 Pro,01:20:48,01:20:48,US (United States)
ZAUSKIHAUS,2023-07-24 17:42:43,01:14:23,,Suits: Season 1: Pilot Part 1 & 2 (Episode 1),,Microsoft Xbox Series X,01:14:23,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-24 17:42:16,00:00:05,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:05,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-24 17:41:41,00:00:20,Autoplayed: user action: None; ,Madam Secretary: Season 1 - CLM 11,HOOK,Microsoft Xbox Series X,00:00:20,00:00:20,US (United States)
ZAUSKIHAUS,2023-07-24 17:41:12,00:00:07,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Microsoft Xbox Series X,00:00:07,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-24 00:44:47,00:40:59,,S.W.A.T.: Season 4: U-Turn (Episode 12),,Microsoft Xbox Series X,00:42:09,00:42:09,US (United States)
ZAUSKIHAUS,2023-07-23 23:25:22,00:50:06,Autoplayed: user action: User_Interaction; ,S.W.A.T.: Season 4: Positive Thinking (Episode 11),,Microsoft Xbox Series X,00:41:45,00:41:45,US (United States)
ZAUSKIHAUS,2023-07-23 22:52:29,00:31:10,,S.W.A.T.: Season 4: Buried (Episode 10),,Microsoft Xbox Series X,00:41:58,00:41:58,US (United States)
ZAUSKIHAUS,2023-07-23 22:51:16,00:00:29,,S.W.A.T.: Season 4: Buried (Episode 10),,Microsoft Xbox Series X,00:10:49,Not latest view,US (United States)
ZAUSKIHAUS,2023-07-22 01:17:11,00:09:30,Autoplayed: user action: None; ,S.W.A.T.: Season 4: Buried (Episode 10),,Microsoft Xbox Series X,00:10:20,Not latest view,US (United States)
